127.0.0.1 - - [07/Nov/2023:00:19:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:06 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:06 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:06 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:06 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:09 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:10 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:10 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:10 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:10 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:15 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:21 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:21 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:21 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:35 +0900] "GET /JSP/logoutAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:35 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:38 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [07/Nov/2023:00:19:39 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3251
