127.0.0.1 - - [21/Nov/2023:13:40:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:40:06 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 500 4177
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:40:53 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 500 3187
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:16 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 500 3187
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:17 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 500 3187
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:38 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:38 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152790
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:38 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:41:38 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:53 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:53 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:53 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:53 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/css/index.css HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/js/chat.js HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:55 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:57 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:57 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:57 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:42:57 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:43:00 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:43:00 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:43:00 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:43:00 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:03 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:03 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:03 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:03 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:31 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:31 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:31 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:31 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:55 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:55 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:55 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:13:59:55 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:25 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:26 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:26 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:26 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:01:26 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11653
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/css/bootstrapeval.min.css?ver=1 HTTP/1.1" 200 144876
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/js/jquery.min.js HTTP/1.1" 200 87532
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/js/popper.min.js HTTP/1.1" 200 19191
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:15:14 +0900] "GET /JSP/js/bootstrapeval.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11653
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/css/bootstrapeval.min.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:18:51 +0900] "GET /JSP/js/bootstrapeval.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:05 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:05 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:05 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:05 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:33 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:33 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:33 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:35 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11653
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/css/bootstrapeval.min.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/js/bootstrapeval.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:19:48 +0900] "GET /JSP/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:41 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:41 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:41 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:41 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:48 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:48 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:48 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:48 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:49 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:51 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:51 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:51 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:51 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:55 +0900] "GET /JSP/chatroom.jsp HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:55 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:55 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:23:55 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:39 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:39 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:39 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:39 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:41 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:42 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:24:42 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
