127.0.0.1 - - [10/Nov/2023:17:42:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:57 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:57 +0900] "GET /JSP/images/inha2.jpg HTTP/1.1" 200 390264
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:57 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:57 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:57 +0900] "GET /JSP/images/inha.jpg HTTP/1.1" 200 611165
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:58 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:42:58 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/images/inha.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /JSP/images/inha2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:12 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:12 +0900] "GET /JSP/css/bootstrapeval.min.css?ver=1 HTTP/1.1" 200 144875
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:12 +0900] "GET /JSP/js/bootstrapeval.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:12 +0900] "GET /JSP/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:12 +0900] "GET /JSP/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:14 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:16 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:17 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:21 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:24 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:26 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:32 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:35 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:35 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:37 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:43:41 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:44:50 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:44:54 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:44:55 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:44:56 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11655
0:0:0:0:0:0:0:1 - - [10/Nov/2023:17:45:13 +0900] "GET /JSP/js/popper.min.js.map HTTP/1.1" 404 839
