127.0.0.1 - - [06/Nov/2023:14:10:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:27 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:27 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:27 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:27 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:29 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:32 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:33 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:34 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:34 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:34 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:34 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:38 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:40 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:40 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:40 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:40 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:41 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:48 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:48 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:48 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:48 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:56 +0900] "GET /JSP/view.jsp?bbsID=1 HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:56 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:56 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:10:56 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:00 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:00 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:00 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:00 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:01 +0900] "GET /JSP/write.jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:01 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:01 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:01 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:04 +0900] "POST /JSP/writeAction.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:04 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:04 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:04 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:04 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [06/Nov/2023:14:11:09 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
