127.0.0.1 - - [28/Oct/2023:17:19:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:07 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:14 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:14 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:14 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:14 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:17 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:17:19:18 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
